Quarter,Time_Index,Household_Consumption,Government_Consumption,Gross_Capital_Formation,Exports,Imports,Statistical_Discrepancy,GDP
2015 Q3,319,2636266.0,414450.0,802818.0,981216.0,1232968.0,-12394.0,3589388.0
2015 Q4,320,3111056.0,381728.0,983110.0,875430.0,1282825.0,-2280.0,4066219.0
2016 Q1,321,2777972.0,443226.0,861764.0,1051563.0,1397852.0,-13985.0,3722688.0
2016 Q2,322,2898169.0,545076.0,1034695.0,1128329.0,1491631.0,25548.0,4140186.0
2016 Q3,323,2828137.0,430953.0,968213.0,1060860.0,1412587.0,-23094.0,3852483.0
2016 Q4,324,3319183.0,402112.0,1153703.0,963094.0,1502303.0,11530.0,4347319.0
2017 Q1,325,2943490.0,433777.0,1007110.0,1181384.0,1592602.0,-13182.0,3959977.0
2017 Q2,326,3073414.0,583654.0,1132602.0,1307500.0,1685049.0,25209.0,4437331.0
2017 Q3,327,2983445.0,464841.0,1066586.0,1304852.0,1638292.0,-38797.0,4142636.0
2017 Q4,328,3527479.0,457607.0,1250029.0,1141653.0,1767504.0,26769.0,4636033.0
2018 Q1,329,3114801.0,494233.0,1042614.0,1334774.0,1750368.0,-20479.0,4215576.0
2018 Q2,330,3263873.0,655488.0,1305208.0,1454286.0,1997855.0,39385.0,4720384.0
2018 Q3,331,3148718.0,531757.0,1246250.0,1435136.0,1933520.0,-31100.0,4397241.0
2018 Q4,332,3722692.0,518159.0,1365034.0,1294376.0,1980467.0,12194.0,4931988.0
2019 Q1,333,3308748.0,523615.0,1130741.0,1392610.0,1907419.0,14891.0,4463186.0
2019 Q2,334,3445708.0,697011.0,1297367.0,1513731.0,2001894.0,34002.0,4985924.0
2019 Q3,335,3337241.0,575719.0,1237959.0,1457178.0,1933644.0,1090.0,4675544.0
2019 Q4,336,3935759.0,603522.0,1466282.0,1300524.0,1998007.0,-49983.0,5258096.0
2020 Q1,337,3314612.0,560060.0,991934.0,1342200.0,1769935.0,-5066.0,4433805.0
2020 Q2,338,2917737.0,848877.0,625145.0,1010843.0,1257461.0,-2198.0,4142943.0
2020 Q3,339,3030086.0,609090.0,757159.0,1234793.0,1536230.0,40601.0,4135499.0
2020 Q4,340,3648922.0,633848.0,1001594.0,1161834.0,1587264.0,-33338.0,4825596.0
2021 Q1,341,3156809.0,650700.0,852223.0,1230985.0,1636543.0,12623.0,4266797.0
2021 Q2,342,3130131.0,814245.0,1148345.0,1297945.0,1762962.0,14120.0,4641825.0
2021 Q3,343,3245553.0,693780.0,908516.0,1348936.0,1729904.0,-40251.0,4426630.0
2021 Q4,344,3922624.0,683980.0,1142715.0,1251806.0,1809800.0,13508.0,5204832.0
2022 Q1,345,3472080.0,675243.0,1003149.0,1362603.0,1902101.0,246.0,4611219.0
2022 Q2,346,3397178.0,904956.0,1344737.0,1362409.0,2017312.0,-1034.0,4990934.0
2022 Q3,347,3505788.0,700083.0,1072152.0,1534252.0,2052446.0,7719.0,4767549.0
2022 Q4,348,4195302.0,708326.0,1186610.0,1432587.0,1939992.0,-6931.0,5575902.0
2023 Q1,349,3692158.0,715392.0,1140162.0,1373901.0,1983307.0,-31294.0,4907013.0
2023 Q2,350,3581723.0,838633.0,1355287.0,1423239.0,2008906.0,13479.0,5203455.0
2023 Q3,351,3683833.0,745184.0,1082022.0,1576161.0,2020718.0,-15086.0,5051396.0
2023 Q4,352,4419487.0,699386.0,1319181.0,1394547.0,1980974.0,32901.0,5884528.0
2024 Q1,353,3865194.0,733822.0,1149701.0,1485302.0,2027273.0,-11158.0,5195588.0
2024 Q2,354,3754005.0,938182.0,1511284.0,1478328.0,2115751.0,-26965.0,5539083.0
2024 Q3,355,3875930.0,782146.0,1220433.0,1555462.0,2151103.0,33186.0,5316054.0
2024 Q4,356,4628998.0,762628.0,1391804.0,1439458.0,2034193.0,4937.0,6193631.0
2025 Q1,357,4069803.0,871002.0,1204467.0,1590556.0,2236239.0,-24512.0,5475078.0
2025 Q2,358,3953574.0,1019940.0,1528850.0,1548234.0,2189147.0,-18413.0,5843037.0
2025 Q3,359,4033507.0,827191.0,1186501.0,1670107.0,2220084.0,28794.0,5526016.0
2025 Q4,360,4802699.0,791032.0,1240358.0,1629507.0,2105831.0,21967.0,6379732.0
